train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,424,11.220365524291992,0.014477853663265705,100.0,15600,156,-61.362877899999994,0.014625266194343567,15499,-8.530202865600586,36,,
0.0003,,12.057730674743652,0.011904848739504814,,16000,,,0.013472790829837322,15899,-8.283519744873047,,100.0,-38.98573634
,436,,,100.0,16000,160,-59.22388563,,,,36,,
0.0003,441,12.631752014160156,0.014999090693891048,100.0,16400,164,-57.311879829999995,0.012463961727917194,16299,-8.031244277954102,37,,
0.0003,,12.855719566345215,0.01359892264008522,,16500,,,0.012233667075634003,16399,-8.178176879882812,,100.0,-38.70259514
0.0003,453,13.632351875305176,0.014853201806545258,100.0,16800,168,-55.584174360000006,0.011579378508031368,16699,-5.284145832061768,37,,
0.0003,,13.57364273071289,0.013563117012381554,,17000,,,0.011186487972736359,16899,-4.612839221954346,,100.0,-40.04796606
0.0003,466,14.268386840820312,0.012707903981208801,100.0,17200,172,-54.00911309999999,0.010822094045579433,17099,-4.901963233947754,36,,
0.0003,,14.435869216918945,0.014053549617528915,,17500,,,0.010331868194043636,17399,-4.204583168029785,,100.0,-42.82326895999999
0.0003,479,14.614970207214355,0.01141347922384739,100.0,17600,176,-52.803872440000006,0.010178780183196068,17499,-4.864144325256348,36,,
0.0003,,15.387155532836914,0.014838295988738537,,18000,,,0.00961275678128004,17899,-2.393754005432129,,100.0,-40.97218166
,491,,,100.0,18000,180,-51.330149119999994,,,,36,,
0.0003,496,15.914125442504883,0.011839913204312325,100.0,18400,184,-50.34956398,0.009179455228149891,18299,-2.3557605743408203,37,,
0.0003,,15.766680717468262,0.010710528120398521,,18500,,,0.009083772078156471,18399,-2.214592456817627,,100.0,-42.0373531
0.0003,509,16.430065155029297,0.011638350784778595,100.0,18800,188,-49.29687462000001,0.00881769135594368,18699,-1.7807459831237793,36,,
0.0003,,16.709823608398438,0.01331933680921793,,19000,,,0.008682791143655777,18899,-1.9831264019012451,,100.0,-38.3520818
0.0003,521,16.87351417541504,0.01224298495799303,100.0,19200,192,-48.37680712999999,0.008563671261072159,19099,0.19404873251914978,36,,
0.0003,,17.267478942871094,0.011615235358476639,,19500,,,0.008417992852628231,19399,0.1133994460105896,,100.0,-37.865211980000005
0.0003,534,17.47161293029785,0.011253226548433304,100.0,19600,196,-47.33777156999999,0.0083871865645051,19499,0.002168126404285431,36,,
0.0003,,17.91400909423828,0.012410588562488556,,20000,,,0.00831961166113615,19899,0.08161160349845886,,100.0,-40.210179
,547,,,100.0,20000,200,-46.41746241,,,,36,,
0.0003,551,18.709487915039062,0.012318795546889305,100.0,20400,204,-45.46068888,0.008276522159576416,20299,-0.11044248938560486,36,,
0.0003,,18.69608497619629,0.012266578152775764,,20500,,,0.008270859718322754,20399,0.7324325442314148,,100.0,-40.3025848
0.0003,564,18.924604415893555,0.012773871421813965,100.0,20800,208,-44.80134744,0.008235225453972816,20699,0.1380135715007782,36,,
0.0003,,18.86882781982422,0.013206198811531067,,21000,,,0.008249925449490547,20899,0.6674351692199707,,100.0,-38.83388516
0.0003,577,19.330944061279297,0.014853818342089653,100.0,21200,212,-44.32453634999999,0.00830222200602293,21099,-1.1736087799072266,36,,
0.0003,,19.737308502197266,0.012656541541218758,,21500,,,0.008320694789290428,21399,0.4446801245212555,,100.0,-38.7281262
0.0003,589,20.007122039794922,0.012620853260159492,100.0,21600,216,-43.773929939999995,0.008330079726874828,21499,-0.6355453133583069,36,,
0.0003,,20.336090087890625,0.01187397725880146,,22000,,,0.008339359425008297,21899,-0.07753050327301025,,100.0,-38.97442438
,602,,,100.0,22000,220,-43.149012469999995,,,,36,,
0.0003,607,20.567195892333984,0.01046900637447834,100.0,22400,224,-42.77342032000001,0.008373536169528961,22299,0.21254625916481018,36,,
0.0003,,21.101444244384766,0.015134588815271854,,22500,,,0.008359022438526154,22399,-0.11293776333332062,,100.0,-37.96400916
0.0003,619,21.213729858398438,0.010454823262989521,100.0,22800,228,-42.43367098999999,0.00834217481315136,22699,0.12040409445762634,36,,
