time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,0.10623643547296524,41000,40899,,,,40.24352264404297,0.001,-39.28019718,100.0
574,-41.49615377999999,0.07318145781755447,41200,41099,100.0,71,412,40.075294494628906,0.001,,
,,0.0680171400308609,41500,41399,,,,40.22734451293945,0.001,-39.97171262,100.0
580,-41.48119871,0.07598572969436646,41600,41499,100.0,71,416,40.28832244873047,0.001,,
,,0.09758459031581879,42000,41899,,,,40.443172454833984,0.001,-39.61152674,100.0
586,-41.45365225,,42000,,100.0,71,420,,,,
589,-41.38507311,0.05919759348034859,42400,42299,100.0,71,424,40.613014221191406,0.001,,
,,0.11114189773797989,42500,42399,,,,40.69723129272461,0.001,-40.17018546,100.0
595,-41.08933972,0.0864998921751976,42800,42699,100.0,71,428,40.84068298339844,0.001,,
,,0.10479392111301422,43000,42899,,,,40.46790313720703,0.001,-41.56943812,100.0
602,-41.067828580000004,0.07107515633106232,43200,43099,100.0,71,432,40.975311279296875,0.001,,
,,0.057169970124959946,43500,43399,,,,41.323699951171875,0.001,-40.80460416,100.0
608,-41.28937096,0.07086585462093353,43600,43499,100.0,71,436,41.297096252441406,0.001,,
,,0.05277616158127785,44000,43899,,,,40.9937629699707,0.001,-40.216857219999994,100.0
614,-41.09182388,,44000,,100.0,71,440,,,,
616,-41.195503319999986,0.06092917546629906,44400,44299,100.0,71,444,41.218265533447266,0.001,,
,,0.12919466197490692,44500,44399,,,,41.4314079284668,0.001,-41.92577496,100.0
623,-41.28997315000001,0.09571046382188797,44800,44699,100.0,71,448,41.55695343017578,0.001,,
,,0.06701745092868805,45000,44899,,,,41.299468994140625,0.001,-40.26433513999999,100.0
629,-41.28130269000001,0.10052628070116043,45200,45099,100.0,71,452,41.439964294433594,0.001,,
,,0.08586479723453522,45500,45399,,,,41.8199462890625,0.001,-39.43138104,100.0
635,-41.143718850000006,0.08215847611427307,45600,45499,100.0,71,456,42.10456466674805,0.001,,
,,0.05570793151855469,46000,45899,,,,42.26786804199219,0.001,-40.2304869,100.0
642,-41.1137049,,46000,,100.0,71,460,,,,
644,-40.82194713,0.08831337094306946,46400,46299,100.0,71,464,42.1148796081543,0.001,,
,,0.08146333694458008,46500,46399,,,,41.93858337402344,0.001,-39.62835856000001,100.0
651,-40.33642623,0.09356826543807983,46800,46699,100.0,71,468,42.20227813720703,0.001,,
,,0.06990088522434235,47000,46899,,,,42.16366958618164,0.001,-38.8451749,100.0
657,-40.460084769999995,0.06331390887498856,47200,47099,100.0,71,472,42.675411224365234,0.001,,
,,0.09346999228000641,47500,47399,,,,42.60945510864258,0.001,-39.4088105,100.0
663,-40.4039728,0.07379918545484543,47600,47499,100.0,71,476,42.21072769165039,0.001,,
,,0.06204722076654434,48000,47899,,,,42.48023223876953,0.001,-39.647535739999995,100.0
670,-40.566338159999994,,48000,,100.0,71,480,,,,
672,-40.49698983,0.08364315330982208,48400,48299,100.0,71,484,42.51069641113281,0.001,,
,,0.05982241407036781,48500,48399,,,,42.8818473815918,0.001,-38.425325439999995,100.0
679,-40.34387558,0.0783383771777153,48800,48699,100.0,71,488,42.792259216308594,0.001,,
,,0.09105152636766434,49000,48899,,,,42.622955322265625,0.001,-39.3397707,100.0
685,-40.10554283999999,0.11196112632751465,49200,49099,100.0,71,492,42.458740234375,0.001,,
,,0.08027772605419159,49500,49399,,,,42.53135681152344,0.001,-42.25736268,100.0
691,-39.989989140000006,0.09299156069755554,49600,49499,100.0,71,496,43.086669921875,0.001,,
,,0.10755915194749832,50000,49899,,,,42.8145637512207,0.001,-40.48205698,100.0
698,-40.01766029,,50000,,100.0,71,500,,,,
700,-39.7069143,0.0810600221157074,50400,50299,100.0,71,504,42.761024475097656,0.001,,
,,0.10461026430130005,50500,50399,,,,43.15732192993164,0.001,-41.724348580000004,100.0
706,-39.73151162,0.11580723524093628,50800,50699,100.0,71,508,43.33811569213867,0.001,,
,,0.0730399414896965,51000,50899,,,,43.19916534423828,0.001,-40.9076367,100.0
712,-39.70959404,0.08716797828674316,51200,51099,100.0,71,512,42.9510498046875,0.001,,
,,0.06876184046268463,51500,51399,,,,43.34291076660156,0.001,-39.541288019999996,100.0
719,-39.84978079,0.09766731411218643,51600,51499,100.0,71,516,43.33563995361328,0.001,,
,,0.07277853786945343,52000,51899,,,,43.69590377807617,0.001,-40.41612784,100.0
725,-39.722268269999994,,52000,,100.0,71,520,,,,
728,-39.97821778,0.08861124515533447,52400,52299,100.0,71,524,43.712242126464844,0.001,,
,,0.08724730461835861,52500,52399,,,,44.15829849243164,0.001,-42.50082878,100.0
734,-40.35542091,0.09064514935016632,52800,52699,100.0,71,528,43.89971923828125,0.001,,
,,0.07727845013141632,53000,52899,,,,43.91025161743164,0.001,-39.78827894,100.0
740,-40.38843663,0.07189825922250748,53200,53099,100.0,71,532,44.34539031982422,0.001,,
,,0.09085942804813385,53500,53399,,,,43.96200180053711,0.001,-42.342737959999994,100.0
747,-40.32141439,0.09149834513664246,53600,53499,100.0,71,536,44.09056091308594,0.001,,
,,0.19090235233306885,54000,53899,,,,44.129154205322266,0.001,-41.36692558,100.0
753,-40.44763497,,54000,,100.0,71,540,,,,
755,-40.43245012,0.11421303451061249,54400,54299,100.0,71,544,44.1246337890625,0.001,,
,,0.079855777323246,54500,54399,,,,44.2091064453125,0.001,-40.41709718,100.0
762,-40.42452065,0.06954033672809601,54800,54699,100.0,71,548,44.0194091796875,0.001,,
,,0.09097164124250412,55000,54899,,,,44.36806869506836,0.001,-41.35042982,100.0
