time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
1162,428,0.0003,42699,0.023912524804472923,0.41450655460357666,-40.86963715,0.008817649446427822,42800,100.0,36,34.166778564453125,,
,,0.0003,42899,0.02212372049689293,-0.22311297059059143,,0.008802194148302078,43000,,,34.20212173461914,100.0,-37.41517606
1174,432,0.0003,43099,0.02653302252292633,0.1796671748161316,-40.85866213,0.008791816420853138,43200,100.0,36,34.452728271484375,,
,,0.0003,43399,0.020837191492319107,-0.4701700806617737,,0.008761424571275711,43500,,,34.404666900634766,100.0,-37.4015126
1187,436,0.0003,43499,0.021358482539653778,-1.1434507369995117,-40.84712885,0.008748904801905155,43600,100.0,36,34.930519104003906,,
,,0.0003,43899,0.02307713031768799,1.8994717597961426,,0.00872739963233471,44000,,,34.791011810302734,100.0,-37.488628160000005
1199,440,,,,,-40.55112664,,44000,100.0,36,,,
1204,444,0.0003,44299,0.03243871033191681,0.28065186738967896,-40.1323719,0.008729148656129837,44400,100.0,36,34.901123046875,,
,,0.0003,44399,0.02681083232164383,0.6644996404647827,,0.008756505325436592,44500,,,34.695457458496094,100.0,-36.19680856
1217,448,0.0003,44699,0.02642829529941082,-0.08781188726425171,-40.0485408,0.008824732154607773,44800,100.0,36,35.175514221191406,,
,,0.0003,44899,0.03274087235331535,0.6518693566322327,,0.008858777582645416,45000,,,35.16870880126953,100.0,-36.79751322
1229,452,0.0003,45099,0.03780001401901245,-0.22878646850585938,-40.011774249999995,0.00887271948158741,45200,100.0,36,34.93510437011719,,
,,0.0003,45399,0.04102563112974167,-0.143940269947052,,0.008848105557262897,45500,,,35.1634521484375,100.0,-38.45654716
1242,456,0.0003,45499,0.0272124744951725,-0.35352960228919983,-39.925277779999995,0.008811155334115028,45600,100.0,36,35.37639617919922,,
,,0.0003,45899,0.021859392523765564,0.4270709156990051,,0.008782250806689262,46000,,,35.195472717285156,100.0,-38.3149119
1254,460,,,,,-39.56734108,,46000,100.0,36,,,
1259,464,0.0003,46299,0.025268174707889557,0.5585983991622925,-39.759426989999994,0.008821144700050354,46400,100.0,36,35.97584533691406,,
,,0.0003,46399,0.03275979682803154,-0.900359570980072,,0.00885870959609747,46500,,,35.604732513427734,100.0,-37.925241760000006
1272,468,0.0003,46699,0.03855253383517265,-0.2308783233165741,-39.503729699999994,0.008840539492666721,46800,100.0,36,35.74757385253906,,
,,0.0003,46899,0.022176183760166168,0.5105990171432495,,0.008803621865808964,47000,,,35.824249267578125,100.0,-39.077685360000004
1285,472,0.0003,47099,0.030237264931201935,-1.3248569965362549,-39.11524344,0.008837997913360596,47200,100.0,36,35.91456604003906,,
,,0.0003,47399,0.030188020318746567,0.3442005217075348,,0.008905136026442051,47500,,,36.12271499633789,100.0,-38.81655968
1297,476,0.0003,47499,0.025378189980983734,0.6798686385154724,-38.98221931999999,0.008827139623463154,47600,100.0,36,35.98987579345703,,
,,0.0003,47899,0.02204824984073639,2.2349395751953125,,0.008905339986085892,48000,,,36.230194091796875,100.0,-38.90207468
1309,480,,,,,-38.966477870000006,,48000,100.0,36,,,
1314,484,0.0003,48299,0.041482143104076385,1.1112427711486816,-39.14518597,0.008923712186515331,48400,100.0,36,36.29976272583008,,
,,0.0003,48399,0.02739725261926651,0.8126592636108398,,0.008997549302875996,48500,,,36.21619415283203,100.0,-38.79190688
