time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,73000,,,,0.001,72899,385.56951904296875,-423.697265625,9139.26150872,980.66
,,73500,,,,0.001,73399,90.862548828125,-421.63006591796875,9140.58093308,980.76
,,74000,,,,0.001,73899,143.9657440185547,-427.666015625,9139.740229800002,980.74
,,74500,,,,0.001,74399,119.31393432617188,-427.431640625,9139.22003724,980.72
,,75000,,,,0.001,74899,185.57977294921875,-423.3575439453125,9319.545699560002,1000.0
,,75500,,,,0.001,75399,387.2840576171875,-424.716796875,9318.669371799999,1000.0
,,76000,,,,0.001,75899,56.71154022216797,-436.3304443359375,9137.21151142,980.74
520,5096,76098,5992.76837013,643.48,14,0.001,75997,93.53939819335938,-417.9150695800781,,
,,76500,,,,0.001,76399,322.6822509765625,-428.53289794921875,9318.677256699999,1000.0
,,77000,,,,0.001,76899,81.66484069824219,-422.9031677246094,9140.2529576,980.8
,,77500,,,,0.001,77399,225.2108154296875,-435.83026123046875,9143.9070136,981.16
,,78000,,,,0.001,77899,157.0494842529297,-425.25958251953125,9320.09429094,1000.0
,,78500,,,,0.001,78399,64.20063018798828,-431.2060546875,9320.00846702,1000.0
,,79000,,,,0.001,78899,77.61138153076172,-438.1398620605469,9319.74664642,1000.0
,,79500,,,,0.001,79399,164.3887176513672,-431.7884216308594,9319.30392204,1000.0
,,80000,,,,0.001,79899,138.45480346679688,-435.8661804199219,9319.82326404,1000.0
524,5428,80098,6338.34446349,680.52,14,0.001,79997,119.69390869140625,-439.4245910644531,,
,,80500,,,,0.001,80399,139.0851593017578,-433.12005615234375,9319.678115319999,1000.0
,,81000,,,,0.001,80899,120.48321533203125,-437.5935974121094,9139.89184822,980.78
,,81500,,,,0.001,81399,175.02581787109375,-423.5469665527344,9140.0222097,980.74
,,82000,,,,0.001,81899,315.8616943359375,-447.1254577636719,9143.39865964,981.02
,,82500,,,,0.001,82399,174.34596252441406,-447.88031005859375,9320.01354012,1000.0
,,83000,,,,0.001,82899,206.81527709960938,-451.0735778808594,9319.62663226,1000.0
,,83500,,,,0.001,83399,175.1979217529297,-449.25439453125,9319.296865520002,1000.0
,,84000,,,,0.001,83899,403.8575439453125,-446.61260986328125,9138.59577098,980.56
528,5758,84098,6686.08798148,717.79,14,0.001,83997,110.14543151855469,-446.1463623046875,,
,,84500,,,,0.001,84399,212.13995361328125,-452.0467224121094,9139.25888878,980.58
,,85000,,,,0.001,84899,199.51397705078125,-445.1390686035156,9139.20889294,980.64
,,85500,,,,0.001,85399,452.5948181152344,-438.4820556640625,9139.99926538,980.68
,,86000,,,,0.001,85899,140.97637939453125,-437.68756103515625,9139.372838160001,980.6
