rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
59.73400311,916,108,13721,126,15.0,13620,-25.990009307861328,0.001,0.19228142499923706,,
59.74056101,920,109,13781,126,15.0,13680,-26.458255767822266,0.001,0.1377074122428894,,
59.74363993000001,924,109,13841,126,15.0,13740,-28.54611587524414,0.001,0.16119465231895447,,
59.75452528000001,928,109,13901,126,15.0,13800,-28.77142333984375,0.001,0.11077795922756195,,
59.7680108,932,110,13961,126,15.0,13860,-27.228534698486328,0.001,0.19146287441253662,,
,,,14000,,,13899,-26.40440559387207,0.001,0.07652014493942261,59.746226539999995,15.0
59.75933876999999,936,111,14021,126,15.0,13920,-26.93560791015625,0.001,0.1938835084438324,,
59.76314018,940,111,14081,126,15.0,13980,-26.491165161132812,0.001,0.1258845329284668,,
59.767668119999996,944,111,14141,126,15.0,14040,-25.100479125976562,0.001,0.16390685737133026,,
59.74918278,948,112,14201,126,15.0,14100,-27.46592140197754,0.001,0.1279333233833313,,
59.73779974999999,952,112,14261,126,15.0,14160,-26.747262954711914,0.001,0.1897611916065216,,
59.74737452,956,113,14321,126,15.0,14220,-26.952953338623047,0.001,0.1159220039844513,,
59.74451630000001,960,113,14381,126,15.0,14280,-27.804401397705078,0.001,0.2578844428062439,,
59.722066889999994,964,113,14441,126,15.0,14340,-26.756702423095703,0.001,0.07457040250301361,,
,,,14500,,,14399,-26.96091079711914,0.001,0.11587563902139664,59.746226539999995,15.0
59.72692912999999,968,114,14501,126,15.0,14400,-27.489925384521484,0.001,0.15401089191436768,,
59.70505253999999,972,115,14561,126,15.0,14460,-26.402198791503906,0.001,0.11685173213481903,,
59.67208260999999,976,115,14621,126,15.0,14520,-26.923786163330078,0.001,0.13797202706336975,,
59.6765832,980,116,14681,126,15.0,14580,-28.605792999267578,0.001,0.36322349309921265,,
59.67307218,984,116,14741,126,15.0,14640,-26.678001403808594,0.001,0.13423621654510498,,
59.66929364,988,116,14801,126,15.0,14700,-27.216405868530273,0.001,0.2742365002632141,,
59.68663527999999,992,117,14861,126,15.0,14760,-25.39611053466797,0.001,0.21376842260360718,,
59.70212826000001,996,117,14921,126,15.0,14820,-27.689617156982422,0.001,0.15308579802513123,,
59.697247399999995,1000,118,14981,126,15.0,14880,-28.578838348388672,0.001,0.2138860821723938,,
,,,15000,,,14899,-25.943862915039062,0.001,0.15378007292747498,59.746226539999995,15.0
59.71209371999999,1004,119,15041,125,15.0,14940,-26.89554214477539,0.001,0.15004710853099823,,
59.71667753,1008,119,15101,125,15.0,15000,-27.398693084716797,0.001,0.13942311704158783,,
59.72441883,1012,120,15161,126,15.0,15060,-28.283475875854492,0.001,0.12211701273918152,,
59.734677250000004,1016,120,15221,126,15.0,15120,-25.369556427001953,0.001,0.12186460196971893,,
59.73175339999998,1020,121,15281,126,15.0,15180,-29.419342041015625,0.001,0.119672492146492,,
59.73257912,1024,121,15341,126,15.0,15240,-26.329273223876953,0.001,0.06094370782375336,,
