time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
165,59234,3968,55.95191359,358,14.89,59133,0.2297092229127884,-25.529579162597656,0.001,,
165,59294,3972,55.92005429999999,358,14.89,59193,0.4488716423511505,-26.158170700073242,0.001,,
165,59354,3976,55.92679384,358,14.89,59253,0.17889104783535004,-24.624513626098633,0.001,,
165,59414,3980,55.91171233,359,14.89,59313,0.24366585910320282,-24.81460189819336,0.001,,
165,59474,3984,55.97795516999999,359,14.9,59373,0.1253751665353775,-26.030187606811523,0.001,,
,59500,,,,,59399,0.19468386471271515,-24.647205352783203,0.001,14.96,56.25917683999999
165,59533,3988,55.94914729999999,360,14.89,59432,0.3714166283607483,-24.349790573120117,0.001,,
165,59593,3992,55.93095187000001,361,14.89,59492,0.31673747301101685,-25.999988555908203,0.001,,
165,59653,3996,55.92248956,361,14.89,59552,0.2711886763572693,-23.27354621887207,0.001,,
165,59713,4000,55.96029894000001,361,14.9,59612,0.24170434474945068,-24.539934158325195,0.001,,
165,59773,4004,55.96134897999998,362,14.9,59672,0.19671234488487244,-25.708866119384766,0.001,,
165,59833,4008,55.942497589999995,362,14.9,59732,0.19057810306549072,-25.271896362304688,0.001,,
165,59893,4012,55.9739296,362,14.9,59792,0.199991375207901,-25.368183135986328,0.001,,
165,59952,4016,55.97505474,363,14.9,59851,0.23915326595306396,-25.23978042602539,0.001,,
,60000,,,,,59899,0.3091026544570923,-23.639310836791992,0.001,14.96,56.25917683999999
164,60012,4020,56.05171606,364,14.91,59911,0.35892319679260254,-26.003150939941406,0.001,,
164,60071,4024,56.08155087,364,14.92,59970,0.08281288295984268,-25.887527465820312,0.001,,
164,60131,4028,56.16777266,365,14.94,60030,0.24225705862045288,-24.197586059570312,0.001,,
164,60191,4032,56.15607631999999,365,14.94,60090,0.09533657878637314,-26.061901092529297,0.001,,
164,60251,4036,56.15706515000001,365,14.94,60150,0.12305273115634918,-25.987258911132812,0.001,,
164,60310,4040,56.14178356000002,366,14.93,60209,0.20657357573509216,-25.262937545776367,0.001,,
164,60370,4044,56.15144604,366,14.93,60269,0.24883624911308289,-26.24545669555664,0.001,,
164,60430,4048,56.13751033,366,14.93,60329,0.6221331357955933,-25.62226676940918,0.001,,
164,60490,4052,56.14053753,367,14.93,60389,0.36782294511795044,-25.975337982177734,0.001,,
,60500,,,,,60399,0.10112468153238297,-25.73868751525879,0.001,14.96,56.25917683999999
164,60550,4056,56.163639489999994,368,14.93,60449,0.2502504587173462,-27.458036422729492,0.001,,
164,60609,4060,56.09667324000001,368,14.92,60508,0.54305100440979,-25.575767517089844,0.001,,
164,60669,4064,56.193189409999995,369,14.94,60568,0.09533752501010895,-25.585716247558594,0.001,,
164,60729,4068,56.243778109999994,369,14.95,60628,0.07545789331197739,-24.821712493896484,0.001,,
164,60789,4072,56.23949407,369,14.95,60688,0.22222650051116943,-25.36163330078125,0.001,,
164,60849,4076,56.24067964999998,370,14.95,60748,0.22740769386291504,-25.088176727294922,0.001,,
164,60909,4080,56.248784289999996,370,14.95,60808,0.19849511981010437,-24.079917907714844,0.001,,
164,60967,4084,56.137393700000004,370,14.93,60866,0.07761800289154053,-26.665897369384766,0.001,,
,61000,,,,,60899,0.3576001524925232,-23.977741241455078,0.001,14.96,56.25917683999999
164,61027,4088,56.18014866999999,371,14.94,60926,0.06926167011260986,-26.100189208984375,0.001,,
164,61087,4092,56.159459829999996,372,14.94,60986,0.2882550358772278,-23.31785774230957,0.001,,
164,61147,4096,56.15003256999999,372,14.94,61046,0.21594133973121643,-25.670059204101562,0.001,,
164,61207,4100,56.187715589999996,372,14.94,61106,0.1975674331188202,-24.861677169799805,0.001,,
164,61267,4104,56.19647070999999,373,14.94,61166,0.22427953779697418,-26.772891998291016,0.001,,
164,61327,4108,56.191891569999996,373,14.94,61226,0.38444453477859497,-26.498981475830078,0.001,,
164,61387,4112,56.16596298999999,374,14.94,61286,0.20310889184474945,-27.344175338745117,0.001,,
164,61447,4116,56.195018229999995,374,14.95,61346,0.18863657116889954,-26.17807388305664,0.001,,
,61500,,,,,61399,0.3429343104362488,-25.262479782104492,0.001,14.96,56.25917683999999
163,61507,4120,56.16141681,375,14.95,61406,0.20339952409267426,-23.931041717529297,0.001,,
163,61567,4124,56.22506096000001,375,14.96,61466,0.20769664645195007,-26.325511932373047,0.001,,
163,61627,4128,56.23869732,376,14.96,61526,0.113338902592659,-25.639060974121094,0.001,,
163,61687,4132,56.26156744,376,14.96,61586,0.545354962348938,-26.926525115966797,0.001,,
163,61747,4136,56.245625200000006,376,14.96,61646,0.08991148322820663,-24.640544891357422,0.001,,
163,61806,4140,56.2245978,377,14.96,61705,0.5042834877967834,-24.555042266845703,0.001,,
163,61866,4144,56.21455631,377,14.96,61765,0.20659002661705017,-25.30245590209961,0.001,,
163,61926,4148,56.230261909999996,377,14.96,61825,0.33493220806121826,-26.080570220947266,0.001,,
163,61986,4152,56.243962769999996,378,14.96,61885,0.07490473985671997,-24.220552444458008,0.001,,
,62000,,,,,61899,0.11440683156251907,-27.130996704101562,0.001,14.96,56.25917683999999
163,62046,4156,56.21585959000001,379,14.96,61945,0.2103143334388733,-25.860076904296875,0.001,,
