rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
-7.394547800000001,99,50.0,,,241,,,24000,480,,
-7.3196474,99,50.0,0.03880175203084946,0.001,242,11.566959381103516,24099,24200,484,,
-7.35536202,100,50.0,0.03348811715841293,0.001,243,11.585931777954102,24299,24400,488,,
,,,0.03867451101541519,0.001,,11.597402572631836,24399,24500,,50.0,-7.23119032
-7.38253647,99,50.0,0.04284142702817917,0.001,246,11.668143272399902,24499,24600,492,,
-7.435787659999999,99,50.0,0.04471677541732788,0.001,248,11.767221450805664,24699,24800,496,,
,,,0.0313301607966423,0.001,,11.80944538116455,24899,25000,,50.0,-7.481838759999999
-7.56562869,99,50.0,,,251,,,25000,500,,
-7.50963226,99,50.0,0.03598254919052124,0.001,252,11.831972122192383,25099,25200,504,,
-7.4423565499999995,100,50.0,0.04299154877662659,0.001,253,11.900344848632812,25299,25400,508,,
,,,0.02996179461479187,0.001,,11.873093605041504,25399,25500,,50.0,-7.520210320000001
-7.31420305,99,50.0,0.036571335047483444,0.001,256,11.93271541595459,25499,25600,512,,
-7.265243959999999,99,50.0,0.0408027321100235,0.001,258,12.152606964111328,25699,25800,516,,
,,,0.033794403076171875,0.001,,11.976332664489746,25899,26000,,50.0,-7.035575520000001
-7.20011934,99,50.0,,,261,,,26000,520,,
-7.16539576,99,50.0,0.05046446621417999,0.001,262,11.913125038146973,26099,26200,524,,
-7.18321576,100,50.0,0.041903696954250336,0.001,263,12.186184883117676,26299,26400,528,,
,,,0.039491504430770874,0.001,,12.368194580078125,26399,26500,,50.0,-7.116607900000002
-7.1239262499999985,99,50.0,0.03382110595703125,0.001,266,12.088497161865234,26499,26600,532,,
-7.091760429999999,100,50.0,0.032600026577711105,0.001,267,12.306464195251465,26699,26800,536,,
,,,0.034270044416189194,0.001,,12.26869010925293,26899,27000,,50.0,-7.322601500000001
-6.958241939999999,99,50.0,,,271,,,27000,540,,
-6.9140263200000005,99,50.0,0.032260097563266754,0.001,272,12.219600677490234,27099,27200,544,,
-6.914524040000001,100,50.0,0.03677764907479286,0.001,273,12.290850639343262,27299,27400,548,,
,,,0.03471406176686287,0.001,,12.427840232849121,27399,27500,,50.0,-6.701554259999999
-6.87223256,99,50.0,0.032339561730623245,0.001,277,12.426347732543945,27499,27600,552,,
-6.957383900000001,99,50.0,0.03792177513241768,0.001,278,12.416521072387695,27699,27800,556,,
,,,0.029018206521868706,0.001,,12.445112228393555,27899,28000,,50.0,-6.81376288
-6.919183099999998,99,50.0,,,281,,,28000,560,,
-7.022702110000001,99,50.0,0.03580065071582794,0.001,282,12.516300201416016,28099,28200,564,,
-7.0113339,100,50.0,0.03135547786951065,0.001,283,12.662944793701172,28299,28400,568,,
,,,0.04483099654316902,0.001,,12.56131649017334,28399,28500,,50.0,-6.5474935400000005
-6.999521629999999,99,50.0,0.03476719558238983,0.001,286,12.759353637695312,28499,28600,572,,
-6.9158391099999985,99,50.0,0.03202623873949051,0.001,288,12.760704040527344,28699,28800,576,,
,,,0.03534775972366333,0.001,,12.746352195739746,28899,29000,,50.0,-7.2212586199999995
-6.968119609999999,99,50.0,,,291,,,29000,580,,
-6.9468609400000005,99,50.0,0.03558652848005295,0.001,292,12.813345909118652,29099,29200,584,,
-6.791971500000001,100,50.0,0.02505829557776451,0.001,293,12.845382690429688,29299,29400,588,,
,,,0.03454478830099106,0.001,,13.058704376220703,29399,29500,,50.0,-6.483436580000001
