time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
416,0.02059534564614296,0.9804483652114868,36,0.0003,100.0,41600,1141,33.58559036254883,41499,0.008221975527703762,-43.18748599,,
,0.020196907222270966,-0.7899728417396545,,0.0003,,42000,,34.59428405761719,41899,0.008208664134144783,,100.0,-45.091419939999994
420,,,36,,100.0,42000,1153,,,,-43.23107874,,
424,0.02154766395688057,0.9600580334663391,36,0.0003,100.0,42400,1158,34.4634895324707,42299,0.00816580280661583,-43.633403879999996,,
,0.0342678502202034,1.195203185081482,,0.0003,,42500,,34.72398376464844,42399,0.008167006075382233,,100.0,-44.25844172000001
428,0.02439061924815178,-0.3427497446537018,36,0.0003,100.0,42800,1171,34.30470657348633,42699,0.008165608160197735,-43.469715900000004,,
,0.020576484501361847,-0.4880746603012085,,0.0003,,43000,,35.15158462524414,42899,0.008213330991566181,,100.0,-44.10812414
432,0.022003211081027985,0.7836161851882935,36,0.0003,100.0,43200,1183,34.729347229003906,43099,0.008188710547983646,-43.919807809999995,,
,0.027178583666682243,-1.8862195014953613,,0.0003,,43500,,34.730316162109375,43399,0.008211157284677029,,100.0,-45.80257246
436,0.0347624346613884,-2.024211883544922,36,0.0003,100.0,43600,1196,34.56419372558594,43499,0.008160178549587727,-44.07587751,,
,0.02500295825302601,-1.2798014879226685,,0.0003,,44000,,34.809165954589844,43899,0.008160321973264217,,100.0,-46.37166652
440,,,36,,100.0,44000,1209,,,,-43.98184615999999,,
444,0.034123726189136505,-0.8385671377182007,36,0.0003,100.0,44400,1213,35.22887420654297,44299,0.008173706941306591,-43.828144650000006,,
,0.020037127658724785,2.0051140785217285,,0.0003,,44500,,34.78386688232422,44399,0.008221610449254513,,100.0,-44.89922307999999
448,0.023440591990947723,-0.24140168726444244,36,0.0003,100.0,44800,1226,35.779884338378906,44699,0.008120023645460606,-44.142094500000006,,
,0.02077234536409378,-0.5334769487380981,,0.0003,,45000,,34.57128143310547,44899,0.008091992698609829,,100.0,-49.13199374
452,0.02591092698276043,0.16542407870292664,36,0.0003,100.0,45200,1238,35.14647674560547,45099,0.008103766478598118,-44.18905433,,
,0.023210767656564713,0.03434020280838013,,0.0003,,45500,,35.12260437011719,45399,0.008067951537668705,,100.0,-40.91703406
456,0.020207926630973816,2.635720729827881,36,0.0003,100.0,45600,1251,35.485694885253906,45499,0.008082810789346695,-43.288197839999995,,
,0.019142352044582367,-0.5746837258338928,,0.0003,,46000,,35.98769760131836,45899,0.008113192394375801,,100.0,-44.742290520000005
460,,,36,,100.0,46000,1264,,,,-43.613969319999995,,
464,0.0242390725761652,-1.427757978439331,36,0.0003,100.0,46400,1269,35.28740310668945,46299,0.008126550354063511,-43.36697221,,
,0.026032354682683945,-0.5840823650360107,,0.0003,,46500,,35.50304412841797,46399,0.008124923333525658,,100.0,-37.21969806
468,0.018482334911823273,-1.9060956239700317,36,0.0003,100.0,46800,1281,35.97406768798828,46699,0.00818026065826416,-43.23071876000001,,
,0.024008525535464287,-0.4003991484642029,,0.0003,,47000,,35.35289001464844,46899,0.008252037689089775,,100.0,-40.80923176
472,0.026615668088197708,-0.9749137759208679,36,0.0003,100.0,47200,1294,36.2098503112793,47099,0.008326798677444458,-42.829407520000004,,
,0.026643631979823112,-1.290881872177124,,0.0003,,47500,,35.785789489746094,47399,0.008303936570882797,,100.0,-40.40871138
476,0.0246889591217041,-0.1605510413646698,36,0.0003,100.0,47600,1306,36.570228576660156,47499,0.00827493891119957,-42.62304685999999,,
,0.029957730323076248,-0.4877598285675049,,0.0003,,48000,,35.90381622314453,47899,0.008277326822280884,,100.0,-45.014277119999996
480,,,36,,100.0,48000,1319,,,,-42.57594117000001,,
484,0.022664371877908707,-0.11504870653152466,36,0.0003,100.0,48400,1324,36.18206024169922,48299,0.00830356776714325,-42.594123710000005,,
