time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
1121,41099,0.008446400053799152,0.0003,-45.33869553,41200,0.017910318449139595,100.0,412,34.67924880981445,36,1.7194992303848267,,
,41399,0.008432785980403423,0.0003,,41500,0.024434110149741173,,,34.70229721069336,,0.23879285156726837,100.0,-43.21205094
1133,41499,0.008421883918344975,0.0003,-45.39935356,41600,0.019531557336449623,100.0,416,34.489349365234375,36,1.1723248958587646,,
,41899,0.008434752002358437,0.0003,,42000,0.022963345050811768,,,34.73500061035156,,1.4888339042663574,100.0,-41.5421236
1146,,,,-45.57090316,42000,,100.0,420,,36,,,
1151,42299,0.008492245338857174,0.0003,-45.55377349000001,42400,0.015479877591133118,100.0,424,35.04481506347656,36,1.304728388786316,,
,42399,0.008519232273101807,0.0003,,42500,0.022181939333677292,,,34.854278564453125,,0.41378167271614075,100.0,-40.70497772
1163,42699,0.008455499075353146,0.0003,-45.34275851,42800,0.021369580179452896,100.0,428,34.886512756347656,36,0.7397547960281372,,
,42899,0.00843801535665989,0.0003,,43000,0.017250526696443558,,,35.296539306640625,,0.39074447751045227,100.0,-40.507592
1175,43099,0.008491438813507557,0.0003,-45.18328149999999,43200,0.017803695052862167,100.0,432,35.280418395996094,36,-1.6503398418426514,,
,43399,0.0084887919947505,0.0003,,43500,0.027047181501984596,,,35.47400665283203,,0.9742328524589539,100.0,-37.87716932
1188,43499,0.008515942841768265,0.0003,-45.28200980999999,43600,0.02052443102002144,100.0,436,35.68711853027344,36,-0.4417143166065216,,
,43899,0.008524604141712189,0.0003,,44000,0.01799410581588745,,,35.451473236083984,,1.8769187927246094,100.0,-38.70830024
1200,,,,-45.094018309999996,44000,,100.0,440,,36,,,
1205,44299,0.008534158580005169,0.0003,-44.94899927,44400,0.020765673369169235,100.0,444,36.13999938964844,36,-0.10151630640029907,,
,44399,0.008538688533008099,0.0003,,44500,0.027692761272192,,,36.306434631347656,,-1.0523897409439087,100.0,-39.254042559999995
1217,44699,0.008494383655488491,0.0003,-44.80885016000001,44800,0.029222724959254265,100.0,448,35.86073303222656,36,-0.49978524446487427,,
,44899,0.008510986343026161,0.0003,,45000,0.02109307236969471,,,36.32990264892578,,-1.819270372390747,100.0,-38.5109335
1230,45099,0.00855686329305172,0.0003,-44.67634296999999,45200,0.03047417290508747,100.0,452,36.58802795410156,36,0.214270681142807,,
,45399,0.008487524464726448,0.0003,,45500,0.028926793485879898,,,35.826107025146484,,-0.17842227220535278,100.0,-38.396948019999996
1242,45499,0.00855598971247673,0.0003,-44.59729487000001,45600,0.023433681577444077,100.0,456,36.38362121582031,36,-1.0948190689086914,,
,45899,0.008589673787355423,0.0003,,46000,0.022559288889169693,,,35.745452880859375,,0.15541036427021027,100.0,-39.84464092
1254,,,,-44.570903679999994,46000,,100.0,460,,36,,,
1260,46299,0.008553938008844852,0.0003,-44.085696629999994,46400,0.022296737879514694,100.0,464,36.00477600097656,36,-0.4207190275192261,,
,46399,0.00859963707625866,0.0003,,46500,0.02838164009153843,,,36.69746017456055,,-0.3543154299259186,100.0,-40.18393254000001
1272,46699,0.008531216531991959,0.0003,-43.65981684999999,46800,0.025204813107848167,100.0,468,36.309776306152344,36,0.15505540370941162,,
,46899,0.008508039638400078,0.0003,,47000,0.02492634393274784,,,36.732215881347656,,-0.40030598640441895,100.0,-39.70049516
1284,47099,0.008526556193828583,0.0003,-43.66970437,47200,0.029285963624715805,100.0,472,36.481788635253906,36,-0.41828203201293945,,
,47399,0.008513900451362133,0.0003,,47500,0.027327269315719604,,,36.653282165527344,,-1.0401570796966553,100.0,-40.418502360000005
1297,47499,0.008539763279259205,0.0003,-43.17864538,47600,0.022673390805721283,100.0,476,36.61944580078125,36,-0.05280277132987976,,
,47899,0.008457298390567303,0.0003,,48000,0.020288119092583656,,,37.039649963378906,,-0.7389742136001587,100.0,-39.01815152
1309,,,,-43.309034739999994,48000,,100.0,480,,36,,,
1314,48299,0.008517843671143055,0.0003,-43.05969596,48400,0.0210537351667881,100.0,484,37.05427551269531,36,-2.455652952194214,,
,48399,0.00853091198951006,0.0003,,48500,0.023883264511823654,,,36.98199462890625,,-0.8138149976730347,100.0,-40.81118232
