train/critic_loss,time/total_timesteps,train/actor_loss,eval/mean_ep_length,train/learning_rate,train/n_updates,eval/mean_reward,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed
112.31576538085938,858000,-3162.69189453125,1000.0,0.001,857899,36465.43918866,,,,,
42.642913818359375,858500,-3153.240966796875,1000.0,0.001,858399,36465.43918866,,,,,
42.81587219238281,859000,-3154.394287109375,1000.0,0.001,858899,36465.43918866,,,,,
22.423133850097656,859500,-3154.81103515625,1000.0,0.001,859399,36465.43918866,,,,,
13.240401268005371,860000,-3149.998779296875,1000.0,0.001,859899,36465.43918866,,,,,
,860000,,,,,,36518.79810152,8,1000.0,860,104156
28.4619140625,860500,-3162.931396484375,1000.0,0.001,860399,36465.43918866,,,,,
31.43753433227539,861000,-3157.608642578125,1000.0,0.001,860899,36465.43918866,,,,,
41.131649017333984,861500,-3150.9677734375,1000.0,0.001,861399,36465.43918866,,,,,
28.68083953857422,862000,-3160.06005859375,1000.0,0.001,861899,36465.43918866,,,,,
19.4871826171875,862500,-3166.540283203125,1000.0,0.001,862399,36465.43918866,,,,,
14.724931716918945,863000,-3157.0556640625,1000.0,0.001,862899,36465.43918866,,,,,
37.078556060791016,863500,-3152.864013671875,1000.0,0.001,863399,36465.43918866,,,,,
23.155981063842773,864000,-3160.6416015625,1000.0,0.001,863899,36465.43918866,,,,,
,864000,,,,,,36515.709682060005,8,1000.0,864,104692
17.81179428100586,864500,-3159.0185546875,1000.0,0.001,864399,36465.43918866,,,,,
21.218599319458008,865000,-3152.61865234375,1000.0,0.001,864899,36465.43918866,,,,,
52.94635772705078,865500,-3153.3232421875,1000.0,0.001,865399,36465.43918866,,,,,
25.666088104248047,866000,-3159.56982421875,1000.0,0.001,865899,36465.43918866,,,,,
104.7532958984375,866500,-3155.6552734375,1000.0,0.001,866399,36465.43918866,,,,,
39.90908432006836,867000,-3169.6005859375,1000.0,0.001,866899,36465.43918866,,,,,
19.406234741210938,867500,-3154.925537109375,1000.0,0.001,867399,36465.43918866,,,,,
36.32843017578125,868000,-3154.71337890625,1000.0,0.001,867899,36465.43918866,,,,,
,868000,,,,,,36499.20346221,8,1000.0,868,105229
33.488067626953125,868500,-3151.387939453125,1000.0,0.001,868399,36465.43918866,,,,,
44.50774002075195,869000,-3154.9248046875,1000.0,0.001,868899,36465.43918866,,,,,
22.947341918945312,869500,-3157.55712890625,1000.0,0.001,869399,36465.43918866,,,,,
18.997989654541016,870000,-3155.24853515625,1000.0,0.001,869899,36465.43918866,,,,,
65.0794906616211,870500,-3149.938720703125,1000.0,0.001,870399,36465.43918866,,,,,
51.6661376953125,871000,-3161.470703125,1000.0,0.001,870899,36465.43918866,,,,,
35.53607177734375,871500,-3167.17724609375,1000.0,0.001,871399,36465.43918866,,,,,
41.18678283691406,872000,-3162.775146484375,1000.0,0.001,871899,36465.43918866,,,,,
,872000,,,,,,36496.77080725999,8,1000.0,872,105766
19.3580379486084,872500,-3155.240234375,1000.0,0.001,872399,36465.43918866,,,,,
34.24150085449219,873000,-3159.898193359375,1000.0,0.001,872899,36465.43918866,,,,,
25.827861785888672,873500,-3150.95751953125,1000.0,0.001,873399,36465.43918866,,,,,
13.942699432373047,874000,-3156.48388671875,1000.0,0.001,873899,36465.43918866,,,,,
15.08502197265625,874500,-3151.43505859375,1000.0,0.001,874399,36465.43918866,,,,,
42.37697219848633,875000,-3157.6962890625,1000.0,0.001,874899,36465.43918866,,,,,
17.47372817993164,875500,-3156.759521484375,1000.0,0.001,875399,36465.43918866,,,,,
19.966161727905273,876000,-3155.767822265625,1000.0,0.001,875899,36465.43918866,,,,,
,876000,,,,,,36504.20108487,8,1000.0,876,106303
72.40394592285156,876500,-3153.00146484375,1000.0,0.001,876399,36465.43918866,,,,,
26.157508850097656,877000,-3165.89111328125,1000.0,0.001,876899,36465.43918866,,,,,
25.660734176635742,877500,-3159.76416015625,1000.0,0.001,877399,36465.43918866,,,,,
51.368507385253906,878000,-3158.546875,1000.0,0.001,877899,36465.43918866,,,,,
24.033355712890625,878500,-3154.199951171875,1000.0,0.001,878399,36465.43918866,,,,,
