time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,,,,,21000,0.0003,-131.25851440429688,33.75973892211914,20899,-2.5331950187683105,0.026149669662117958,419.43005797999996,82.5
464,401.3511311599999,372,45,83.17,21051,0.0003,-135.60189819335938,32.24009704589844,20950,-4.176506519317627,0.026174532249569893,,
468,401.72965349,376,45,83.21,21351,0.0003,-136.37779235839844,39.06666564941406,21250,0.5123161673545837,0.02594294212758541,,
,,,,,21500,0.0003,-137.39019775390625,28.61748695373535,21399,1.1542779207229614,0.02633669227361679,389.73632533999995,76.84
478,401.65500517,380,45,83.07,21672,0.0003,-136.393310546875,27.03997230529785,21571,-5.187669277191162,0.026251783594489098,,
481,398.33240393000005,384,45,82.03,21964,0.0003,-125.81428527832031,32.13750457763672,21863,1.728259801864624,0.02596186473965645,,
,,,,,22000,0.0003,-136.85470581054688,27.957796096801758,21899,3.0573220252990723,0.026083242148160934,417.91862042,85.62
492,398.11706128000003,388,45,81.88,22286,0.0003,-129.9031524658203,28.0792179107666,22185,-3.8373284339904785,0.026067180559039116,,
,,,,,22500,0.0003,-134.28024291992188,33.83922576904297,22399,-0.24384856224060059,0.025548620149493217,462.25423415999995,94.18
504,400.5756083199999,392,44,81.91,22590,0.0003,-130.27056884765625,30.864330291748047,22489,5.366589546203613,0.02529003657400608,,
507,398.91378461,396,45,81.54,22878,0.0003,-131.55026245117188,35.98668670654297,22777,0.1848362684249878,0.025146355852484703,,
,,,,,23000,0.0003,-138.26235961914062,35.72294616699219,22899,-3.9864566326141357,0.02503940649330616,455.1460619,96.1
519,394.03103818999995,400,44,80.45,23183,0.0003,-136.69351196289062,33.89806365966797,23082,1.3148956298828125,0.02473461627960205,,
,,,,,23500,0.0003,-126.67142486572266,27.232440948486328,23399,2.741780996322632,0.024699535220861435,384.67117346,84.14
530,391.48063914000005,404,44,80.11,23508,0.0003,-133.19027709960938,38.656829833984375,23407,-4.322526931762695,0.02469957061111927,,
534,398.7009278499999,408,44,81.57,23894,0.0003,-129.2788543701172,32.66588592529297,23793,4.887057304382324,0.024792121723294258,,
,,,,,24000,0.0003,-123.64198303222656,26.71106719970703,23899,7.77825927734375,0.02496328018605709,460.0079194999999,92.34
546,394.2485098499999,412,44,80.91,24223,0.0003,-130.69473266601562,27.885765075683594,24122,2.6210458278656006,0.02540302462875843,,
,,,,,24500,0.0003,-137.42971801757812,33.86920928955078,24399,-0.11878979206085205,0.025449184700846672,345.41770809999997,77.92
557,399.10445759999993,416,44,81.94,24584,0.0003,-133.56150817871094,35.04364776611328,24483,1.1060309410095215,0.025390980765223503,,
562,402.48896469,420,44,82.9,24968,0.0003,-132.2702178955078,31.537866592407227,24867,-0.4784950613975525,0.02558005228638649,,
,,,,,25000,0.0003,-129.88699340820312,23.731576919555664,24899,0.798237681388855,0.02548660710453987,391.39489591999995,79.84
573,401.43550623999994,424,44,82.48,25333,0.0003,-127.49674224853516,28.66790771484375,25232,-0.4874890446662903,0.02510041557252407,,
,,,,,25500,0.0003,-132.53262329101562,31.159217834472656,25399,4.723196029663086,0.025467952713370323,456.0371502400001,94.8
585,403.67403794000006,428,43,83.09,25731,0.0003,-124.91928100585938,32.12923049926758,25630,3.6177139282226562,0.025493524968624115,,
,,,,,26000,0.0003,-137.79078674316406,29.82469367980957,25899,1.7301791906356812,0.024792807176709175,422.51785770000004,84.2
596,402.84928496,432,43,82.73,26048,0.0003,-129.95211791992188,27.841888427734375,25947,2.230156898498535,0.024772923439741135,,
600,405.63109127,436,43,83.43,26397,0.0003,-123.57686614990234,29.951871871948242,26296,-0.030989885330200195,0.024422569200396538,,
,,,,,26500,0.0003,-133.51882934570312,44.87946319580078,26399,3.243973731994629,0.02434288151562214,515.35405484,107.62
613,407.2725167700001,440,43,83.79,26721,0.0003,-141.1153564453125,31.698593139648438,26620,-0.3467763066291809,0.024647913873195648,,
,,,,,27000,0.0003,-128.16299438476562,30.229267120361328,26899,-2.75181245803833,0.024745963513851166,376.4085066199999,81.28
