eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
935.6445618000002,1000.0,0.29772400856018066,-33.47553634643555,62899,63000,0.001,,,,,
930.2045684999998,1000.0,0.25454431772232056,-33.56572723388672,63399,63500,0.001,,,,,
821.2905439400002,971.9,0.450958251953125,-33.69513702392578,63899,64000,0.001,,,,,
815.6051324399999,985.9,0.33685556054115295,-33.84490203857422,64399,64500,0.001,,,,,
919.1065524,989.38,0.4326229691505432,-33.865943908691406,64899,65000,0.001,,,,,
918.4027818000001,994.32,0.3264520764350891,-34.75462341308594,65399,65500,0.001,,,,,
820.2189654000001,989.24,0.3916451334953308,-34.301551818847656,65899,66000,0.001,,,,,
903.4764824399998,992.56,0.315851628780365,-34.50553894042969,66399,66500,0.001,,,,,
,,0.3888336420059204,-34.30841064453125,66885,66986,0.001,9,930.3611111111111,72,693.5685372916666,6756
839.2157777,990.32,0.5038588643074036,-34.38182067871094,66899,67000,0.001,,,,,
861.7104227199999,980.3,0.32815486192703247,-34.805747985839844,67399,67500,0.001,,,,,
792.8593126599999,964.54,0.3736927807331085,-34.572227478027344,67899,68000,0.001,,,,,
915.0409128000001,996.36,0.4257463812828064,-34.83281326293945,68399,68500,0.001,,,,,
754.2785371599999,962.6,0.3929847180843353,-34.53855895996094,68899,69000,0.001,,,,,
813.66871568,989.22,0.4434351325035095,-35.76507568359375,69399,69500,0.001,,,,,
708.01928196,956.1,0.3794495463371277,-35.805999755859375,69899,70000,0.001,,,,,
834.03817672,973.72,0.4004859924316406,-35.17578125,70399,70500,0.001,,,,,
,,0.4048362374305725,-35.14379119873047,70875,70976,0.001,9,933.8947368421053,76,696.6400780263158,7208
838.6396608999999,976.58,0.5321553945541382,-34.62449645996094,70899,71000,0.001,,,,,
768.2142421799998,961.6,0.37254244089126587,-35.1478385925293,71399,71500,0.001,,,,,
776.7464635600002,934.12,0.4391508102416992,-36.25213623046875,71899,72000,0.001,,,,,
725.89739222,958.9,0.4082409143447876,-36.01008605957031,72399,72500,0.001,,,,,
918.5938014999999,999.82,0.6148813366889954,-35.795257568359375,72899,73000,0.001,,,,,
899.8227434400001,972.04,0.5739133358001709,-36.146705627441406,73399,73500,0.001,,,,,
890.99297624,999.26,0.4113994836807251,-35.87342834472656,73899,74000,0.001,,,,,
864.0960081200001,988.6,0.3322140574455261,-36.41758346557617,74399,74500,0.001,,,,,
,,0.42648789286613464,-36.38433074951172,74875,74976,0.001,9,937.2,80,703.7665899125001,7657
843.0472680600001,999.44,0.556054949760437,-36.881813049316406,74899,75000,0.001,,,,,
949.3319993399999,1000.0,0.42687565088272095,-36.368995666503906,75399,75500,0.001,,,,,
893.1331720599999,976.84,0.5584233999252319,-37.4039306640625,75899,76000,0.001,,,,,
931.4042318599999,1000.0,0.4046471118927002,-36.47053909301758,76399,76500,0.001,,,,,
987.0566903,1000.0,0.4998057186603546,-37.35221862792969,76899,77000,0.001,,,,,
1052.9243483399998,1000.0,0.6410516500473022,-37.14081573486328,77399,77500,0.001,,,,,
944.8152442400001,1000.0,0.5308942794799805,-36.272430419921875,77899,78000,0.001,,,,,
984.43971832,1000.0,0.5481137633323669,-36.54174041748047,78399,78500,0.001,,,,,
,,0.5990344882011414,-38.62646484375,78875,78976,0.001,9,940.1904761904761,84,710.1783238690476,8113
997.1754625400001,1000.0,0.40397727489471436,-37.719573974609375,78899,79000,0.001,,,,,
993.50157524,1000.0,0.37659358978271484,-39.733821868896484,79399,79500,0.001,,,,,
984.2475988199999,1000.0,0.41953691840171814,-36.954017639160156,79899,80000,0.001,,,,,
986.0714088799999,1000.0,0.3615063726902008,-38.45970916748047,80399,80500,0.001,,,,,
991.67497574,1000.0,0.46257859468460083,-38.15161895751953,80899,81000,0.001,,,,,
1001.06668406,1000.0,0.5735803842544556,-38.36247253417969,81399,81500,0.001,,,,,
998.7151424199999,1000.0,0.5396932363510132,-39.01991653442383,81899,82000,0.001,,,,,
1085.26698342,1000.0,0.44915318489074707,-39.28960037231445,82399,82500,0.001,,,,,
,,0.6057000160217285,-38.8875732421875,82875,82976,0.001,9,942.9090909090909,88,724.7038758068182,8569
996.77675808,960.44,0.5929259061813354,-39.17189025878906,82899,83000,0.001,,,,,
1051.00147142,1000.0,0.4958444833755493,-39.11540222167969,83399,83500,0.001,,,,,
1015.7289122599998,980.84,0.7055265307426453,-39.00666046142578,83899,84000,0.001,,,,,
1030.88757882,1000.0,0.5436813831329346,-40.2689323425293,84399,84500,0.001,,,,,
1101.3129278000001,1000.0,0.6010904908180237,-40.42048645019531,84899,85000,0.001,,,,,
1257.18442276,1000.0,0.4242870807647705,-40.07208251953125,85399,85500,0.001,,,,,
1162.75773814,1000.0,0.645126461982727,-39.092132568359375,85899,86000,0.001,,,,,
1056.40718158,993.2,0.642025887966156,-40.4766731262207,86399,86500,0.001,,,,,
,,0.8756505250930786,-38.76115417480469,86875,86976,0.001,9,945.3913043478261,92,745.0788759347827,9021
1104.1395791200002,951.44,0.7158124446868896,-39.98280334472656,86899,87000,0.001,,,,,
1119.62580206,1000.0,0.6738630533218384,-40.928367614746094,87399,87500,0.001,,,,,
1131.9874989999998,1000.0,0.92893385887146,-41.01262664794922,87899,88000,0.001,,,,,
1156.06834888,1000.0,0.6371961832046509,-41.69584274291992,88399,88500,0.001,,,,,
1177.94232858,995.5,0.7706325054168701,-42.10499572753906,88899,89000,0.001,,,,,
1167.3960442,1000.0,0.7846285700798035,-41.94325256347656,89399,89500,0.001,,,,,
1153.0993886,947.38,0.9410571455955505,-42.219017028808594,89899,90000,0.001,,,,,
1105.8980151999997,1000.0,0.704413652420044,-42.80614471435547,90399,90500,0.001,,,,,
