train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
63499,0.001,0.09499192982912064,63600,923,68,-40.344926449999996,45.68023681640625,100.0,636,,
63899,0.001,0.10547599196434021,64000,,,,45.685428619384766,,,100.0,-44.50689966000001
,,,64000,929,68,-40.617431460000006,,100.0,640,,
64299,0.001,0.154979407787323,64400,932,69,-40.45996235,45.70436096191406,100.0,644,,
64399,0.001,0.12806786596775055,64500,,,,45.55315399169922,,,100.0,-47.45047314000001
64699,0.001,0.14747373759746552,64800,938,69,-40.51431117,45.550537109375,100.0,648,,
64899,0.001,0.12358562648296356,65000,,,,45.61651611328125,,,100.0,-43.656714
65099,0.001,0.15033000707626343,65200,945,68,-40.4517978,44.936527252197266,100.0,652,,
65399,0.001,0.11152055114507675,65500,,,,45.77029800415039,,,100.0,-42.24117921999999
65499,0.001,0.10459968447685242,65600,951,68,-40.41352211,45.729061126708984,100.0,656,,
65899,0.001,0.10276937484741211,66000,,,,46.31327819824219,,,100.0,-41.7780948
,,,66000,958,68,-40.73112627,,100.0,660,,
66299,0.001,0.1656230390071869,66400,961,69,-40.91209214999999,46.26268005371094,100.0,664,,
66399,0.001,0.167038694024086,66500,,,,45.733192443847656,,,100.0,-48.211506920000005
66699,0.001,0.11499200761318207,66800,968,68,-40.97254592,46.274444580078125,100.0,668,,
66899,0.001,0.16662254929542542,67000,,,,46.085105895996094,,,100.0,-58.49334606
67099,0.001,0.10912176966667175,67200,974,68,-41.08825299,46.2608528137207,100.0,672,,
67399,0.001,0.113247811794281,67500,,,,46.50434112548828,,,100.0,-48.42179944
67499,0.001,0.21188342571258545,67600,981,68,-41.073426760000004,46.79407501220703,100.0,676,,
67899,0.001,0.19219450652599335,68000,,,,46.63007354736328,,,100.0,-40.67576182
,,,68000,987,68,-41.0780812,,100.0,680,,
68299,0.001,0.794506311416626,68400,990,69,-41.206369290000005,46.40972137451172,100.0,684,,
68399,0.001,0.14052169024944305,68500,,,,46.82093048095703,,,100.0,-39.804320680000004
68699,0.001,0.12337522208690643,68800,996,69,-41.39892061,47.26531219482422,100.0,688,,
