time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,0.017848629504442215,,32.556785583496094,40000,39899,,,0.007502131164073944,-0.6591126918792725,0.0003,100.0,-38.9850714
1096,-40.231424540000006,,36,,40000,,400,100.0,,,,,
1101,-40.36795241,0.01699642837047577,36,32.471290588378906,40400,40299,404,100.0,0.00739235058426857,0.02561149001121521,0.0003,,
,,0.019809426739811897,,32.014930725097656,40500,40399,,,0.007393870037049055,0.1822209358215332,0.0003,100.0,-37.31564804
1114,-40.31793479,0.01816355064511299,36,32.90653610229492,40800,40699,408,100.0,0.007318426854908466,-1.7237067222595215,0.0003,,
,,0.01992783509194851,,32.91983413696289,41000,40899,,,0.007374426815658808,0.4435134530067444,0.0003,100.0,-37.64134492
1126,-40.25574872999999,0.017841659486293793,36,32.747100830078125,41200,41099,412,100.0,0.007400200702250004,1.3052852153778076,0.0003,,
,,0.01749604381620884,,32.851234436035156,41500,41399,,,0.007354200351983309,1.1315162181854248,0.0003,100.0,-38.69965416
1139,-40.228506489999994,0.02285616844892502,36,33.08787536621094,41600,41499,416,100.0,0.007379316259175539,-0.46597152948379517,0.0003,,
,,0.02205907367169857,,33.082984924316406,42000,41899,,,0.007371948100626469,0.06203371286392212,0.0003,100.0,-42.692963000000006
1151,-40.13150553999999,,36,,42000,,420,100.0,,,,,
1156,-39.83419565,0.022035101428627968,36,33.22502136230469,42400,42299,424,100.0,0.007356335874646902,-1.9479893445968628,0.0003,,
,,0.01860012672841549,,33.30518341064453,42500,42399,,,0.0074096000753343105,0.5466765761375427,0.0003,100.0,-42.22302794
1169,-39.368640150000004,0.02355818822979927,36,33.634552001953125,42800,42699,428,100.0,0.007401993963867426,-2.2530879974365234,0.0003,,
,,0.0319041945040226,,33.423240661621094,43000,42899,,,0.007333815563470125,-0.7548934817314148,0.0003,100.0,-48.04608074000001
1181,-39.34148984,0.03075086697936058,36,33.493587493896484,43200,43099,432,100.0,0.007384743541479111,-1.6716843843460083,0.0003,,
,,0.03844743221998215,,33.64691925048828,43500,43399,,,0.007775135338306427,-1.0262153148651123,0.0003,100.0,-47.836247400000005
1194,-40.246642169999994,0.02692325785756111,36,33.51307678222656,43600,43499,436,100.0,0.007874074392020702,-1.1088011264801025,0.0003,,
,,0.03374180570244789,,33.388587951660156,44000,43899,,,0.007886270992457867,0.8512002229690552,0.0003,100.0,-46.35223688
1206,-40.64979149,,36,,44000,,440,100.0,,,,,
1211,-41.02559782999999,0.023545704782009125,36,33.674720764160156,44400,44299,444,100.0,0.007730068638920784,0.05898529291152954,0.0003,,
,,0.025100648403167725,,33.32501983642578,44500,44399,,,0.007669985760003328,-1.0664414167404175,0.0003,100.0,-49.908006639999996
